route,field,target,current,status
/etudes-de-cas,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/etudes-de-cas/audiovisuel-16-rendez-vous,title,Étude de cas Lemanvisio | Prospection B2B | devlo,Étude de cas Lemanvisio | Prospection B2B | devlo,OK
/etudes-de-cas/audiovisuel-16-rendez-vous,description,Découvrez la séquence multicanal lemlist de cet intégrateur audiovisuel. Génération de prospects et rendez-vous qualifiés par notre Agence de Prospection B2B.,Découvrez la séquence multicanal lemlist de cet intégrateur audiovisuel. Génération de prospects et rendez-vous qualifiés par notre Agence de Prospection B2B.,OK
/etudes-de-cas/audiovisuel-16-rendez-vous,canonical,https://devlo.ch/etudes-de-cas/audiovisuel-16-rendez-vous,https://devlo.ch/etudes-de-cas/audiovisuel-16-rendez-vous,OK
/etudes-de-cas/audiovisuel-16-rendez-vous,ogImage,/images/LEMANVISIO_banner.webp,/images/LEMANVISIO_banner.webp,OK
/etudes-de-cas/audiovisuel-16-rendez-vous,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/biocarburants-52-rendez-vous,title,Étude de cas Square Co | Prospection B2B | devlo,Étude de cas Square Co | Prospection B2B | devlo,OK
/etudes-de-cas/biocarburants-52-rendez-vous,description,Campagnes de prospection B2B (multicanales & personnalisées): Comment identifier les meilleurs prospects parmi plusieurs ICP via notre méthodologie.,Campagnes de prospection B2B (multicanales & personnalisées): Comment identifier les meilleurs prospects parmi plusieurs ICP via notre méthodologie.,OK
/etudes-de-cas/biocarburants-52-rendez-vous,canonical,https://devlo.ch/etudes-de-cas/biocarburants-52-rendez-vous,https://devlo.ch/etudes-de-cas/biocarburants-52-rendez-vous,OK
/etudes-de-cas/biocarburants-52-rendez-vous,ogImage,/images/SquareCo_banner.webp,/images/SquareCo_banner.webp,OK
/etudes-de-cas/biocarburants-52-rendez-vous,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/biodiversite-70-rendez-vous,title,Étude de cas Apidae | Prospection B2B | devlo,Étude de cas Apidae | Prospection B2B | devlo,OK
/etudes-de-cas/biodiversite-70-rendez-vous,description,Agence de prospection: Comment cette entreprise B2B a externalisé son acquisition clients et obtenu 70 rendez-vous qualifiés avec des décideurs.,Agence de prospection: Comment cette entreprise B2B a externalisé son acquisition clients et obtenu 70 rendez-vous qualifiés avec des décideurs.,OK
/etudes-de-cas/biodiversite-70-rendez-vous,canonical,https://devlo.ch/etudes-de-cas/biodiversite-70-rendez-vous,https://devlo.ch/etudes-de-cas/biodiversite-70-rendez-vous,OK
/etudes-de-cas/biodiversite-70-rendez-vous,ogImage,/images/APIDAE_banner.webp,/images/APIDAE_banner.webp,OK
/etudes-de-cas/biodiversite-70-rendez-vous,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/cybersecurite-4500-entreprises,title,Étude de cas Saporo | Prospection B2B | devlo,Étude de cas Saporo | Prospection B2B | devlo,OK
/etudes-de-cas/cybersecurite-4500-entreprises,description,Saporo éditeur de solution de cybersécurité voulait valider son product-market fit sur plusieurs cibles et externaliser sa prospection commerciale B2B pour...,Saporo éditeur de solution de cybersécurité voulait valider son product-market fit sur plusieurs cibles et externaliser sa prospection commerciale B2B pour...,OK
/etudes-de-cas/cybersecurite-4500-entreprises,canonical,https://devlo.ch/etudes-de-cas/cybersecurite-4500-entreprises,https://devlo.ch/etudes-de-cas/cybersecurite-4500-entreprises,OK
/etudes-de-cas/cybersecurite-4500-entreprises,ogImage,/images/Saporo_Banner.webp,/images/Saporo_Banner.webp,OK
/etudes-de-cas/cybersecurite-4500-entreprises,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/formation-14-rendez-vous,title,Étude de cas Cegos | Prospection B2B | devlo,Étude de cas Cegos | Prospection B2B | devlo,OK
/etudes-de-cas/formation-14-rendez-vous,description,Découvrez comment nous avons pris des rendez-vous qualifiés avec des décideurs suisses en matière de R&D et comment nous avons obtenu un taux de réponse impr...,Découvrez comment nous avons pris des rendez-vous qualifiés avec des décideurs suisses en matière de R&D et comment nous avons obtenu un taux de réponse impr...,OK
/etudes-de-cas/formation-14-rendez-vous,canonical,https://devlo.ch/etudes-de-cas/formation-14-rendez-vous,https://devlo.ch/etudes-de-cas/formation-14-rendez-vous,OK
/etudes-de-cas/formation-14-rendez-vous,ogImage,/images/Cegos_banner.webp,/images/Cegos_banner.webp,OK
/etudes-de-cas/formation-14-rendez-vous,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/hr-54-rendez-vous-dach,title,Étude de cas CareerLunch | Prospection B2B | devlo,Étude de cas CareerLunch | Prospection B2B | devlo,OK
/etudes-de-cas/hr-54-rendez-vous-dach,description,CareerLunch plateforme HR-tech souhaitait accélérer sa prospection commerciale dans la région DACH (Allemagne Autriche Suisse) sans surcharger son équipe...,CareerLunch plateforme HR-tech souhaitait accélérer sa prospection commerciale dans la région DACH (Allemagne Autriche Suisse) sans surcharger son équipe...,OK
/etudes-de-cas/hr-54-rendez-vous-dach,canonical,https://devlo.ch/etudes-de-cas/hr-54-rendez-vous-dach,https://devlo.ch/etudes-de-cas/hr-54-rendez-vous-dach,OK
/etudes-de-cas/hr-54-rendez-vous-dach,ogImage,/images/CareerLunch_banner1.webp,/images/CareerLunch_banner1.webp,OK
/etudes-de-cas/hr-54-rendez-vous-dach,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/iddi-generation-leads-biotech-pharma,title,Étude de cas IDDI | Prospection B2B | devlo,Étude de cas IDDI | Prospection B2B | devlo,OK
/etudes-de-cas/iddi-generation-leads-biotech-pharma,description,IDDI CRO spécialisé en biostatistique et gestion des données cliniques génère des rendez-vous qualifiés auprès de décideurs biotech et pharma.,IDDI CRO spécialisé en biostatistique et gestion des données cliniques génère des rendez-vous qualifiés auprès de décideurs biotech et pharma.,OK
/etudes-de-cas/iddi-generation-leads-biotech-pharma,canonical,https://devlo.ch/etudes-de-cas/iddi-generation-leads-biotech-pharma,https://devlo.ch/etudes-de-cas/iddi-generation-leads-biotech-pharma,OK
/etudes-de-cas/iddi-generation-leads-biotech-pharma,ogImage,/images/IDDI_banner.webp,/images/IDDI_banner.webp,OK
/etudes-de-cas/iddi-generation-leads-biotech-pharma,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/immobilier-11-prospects,title,Étude de cas HIAG | Prospection B2B | devlo,Étude de cas HIAG | Prospection B2B | devlo,OK
/etudes-de-cas/immobilier-11-prospects,description,L'immobilier et la prospection commerciale B2B: comment cibler et démarcher des prospects pour la location de surfaces commerciales,L'immobilier et la prospection commerciale B2B: comment cibler et démarcher des prospects pour la location de surfaces commerciales,OK
/etudes-de-cas/immobilier-11-prospects,canonical,https://devlo.ch/etudes-de-cas/immobilier-11-prospects,https://devlo.ch/etudes-de-cas/immobilier-11-prospects,OK
/etudes-de-cas/immobilier-11-prospects,ogImage,/images/HIAG_banner.webp,/images/HIAG_banner.webp,OK
/etudes-de-cas/immobilier-11-prospects,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/immobilier-30-prospects,title,Étude de cas Abacus | Prospection B2B | devlo,Étude de cas Abacus | Prospection B2B | devlo,OK
/etudes-de-cas/immobilier-30-prospects,description,Découvrez comment Abacus a utilisé la télémarketing B2B et la génération de leads pour rencontrer des agences immobilières qualifiées en Suisse romande.,Découvrez comment Abacus a utilisé la télémarketing B2B et la génération de leads pour rencontrer des agences immobilières qualifiées en Suisse romande.,OK
/etudes-de-cas/immobilier-30-prospects,canonical,https://devlo.ch/etudes-de-cas/immobilier-30-prospects,https://devlo.ch/etudes-de-cas/immobilier-30-prospects,OK
/etudes-de-cas/immobilier-30-prospects,ogImage,/images/Abacus_banner.webp,/images/Abacus_banner.webp,OK
/etudes-de-cas/immobilier-30-prospects,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/logiciel-comptable-200k-ca,title,Étude de cas Horus | Prospection B2B | devlo,Étude de cas Horus | Prospection B2B | devlo,OK
/etudes-de-cas/logiciel-comptable-200k-ca,description,Découvrez comment ce logiciel de comptabilité a obtenu €200K de nouveaux contrats via 80 rendez-vous qualifiés avec des cabinets comptables.,Découvrez comment ce logiciel de comptabilité a obtenu €200K de nouveaux contrats via 80 rendez-vous qualifiés avec des cabinets comptables.,OK
/etudes-de-cas/logiciel-comptable-200k-ca,canonical,https://devlo.ch/etudes-de-cas/logiciel-comptable-200k-ca,https://devlo.ch/etudes-de-cas/logiciel-comptable-200k-ca,OK
/etudes-de-cas/logiciel-comptable-200k-ca,ogImage,/images/Horus.webp,/images/Horus.webp,OK
/etudes-de-cas/logiciel-comptable-200k-ca,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/merchandising-23-prospects,title,Étude de cas Many Ways | Prospection B2B | devlo,Étude de cas Many Ways | Prospection B2B | devlo,OK
/etudes-de-cas/merchandising-23-prospects,description,Comment cette société de merchandising a obtenu 70% de réponses et 8% de meetings avec leurs prospects grâce à cette séquence de prospection commerciale B2B,Comment cette société de merchandising a obtenu 70% de réponses et 8% de meetings avec leurs prospects grâce à cette séquence de prospection commerciale B2B,OK
/etudes-de-cas/merchandising-23-prospects,canonical,https://devlo.ch/etudes-de-cas/merchandising-23-prospects,https://devlo.ch/etudes-de-cas/merchandising-23-prospects,OK
/etudes-de-cas/merchandising-23-prospects,ogImage,/images/Many-Ways_banner.webp,/images/Many-Ways_banner.webp,OK
/etudes-de-cas/merchandising-23-prospects,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/mobilite-40-prospects,title,Étude de cas Locky | Prospection B2B | devlo,Étude de cas Locky | Prospection B2B | devlo,OK
/etudes-de-cas/mobilite-40-prospects,description,Agence de Prospection Commerciale B2B: comment ce client a rencontré +40 prospects qualifiés (séquences d'e-mails appels démarchage LinkedIn),Agence de Prospection Commerciale B2B: comment ce client a rencontré +40 prospects qualifiés (séquences d'e-mails appels démarchage LinkedIn),OK
/etudes-de-cas/mobilite-40-prospects,canonical,https://devlo.ch/etudes-de-cas/mobilite-40-prospects,https://devlo.ch/etudes-de-cas/mobilite-40-prospects,OK
/etudes-de-cas/mobilite-40-prospects,ogImage,/images/Locky_banner.webp,/images/Locky_banner.webp,OK
/etudes-de-cas/mobilite-40-prospects,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/monizze-120-rendez-vous,title,Étude de cas Monizze | Prospection B2B | devlo,Étude de cas Monizze | Prospection B2B | devlo,OK
/etudes-de-cas/monizze-120-rendez-vous,description,Comment devlo a obtenu 120 rendez-vous qualifiés pour Monizze en ciblant 7'000 décideurs RH Finance et Direction en Belgique.,Comment devlo a obtenu 120 rendez-vous qualifiés pour Monizze en ciblant 7'000 décideurs RH Finance et Direction en Belgique.,OK
/etudes-de-cas/monizze-120-rendez-vous,canonical,https://devlo.ch/etudes-de-cas/monizze-120-rendez-vous,https://devlo.ch/etudes-de-cas/monizze-120-rendez-vous,OK
/etudes-de-cas/monizze-120-rendez-vous,ogImage,/images/Monizze_banner.webp,/images/Monizze_banner.webp,OK
/etudes-de-cas/monizze-120-rendez-vous,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/etudes-de-cas/proprete-urbaine-71-rendez-vous,title,Étude de cas Client confidentiel | Prospection B2B | devlo,Étude de cas Client confidentiel | Prospection B2B | devlo,OK
/etudes-de-cas/proprete-urbaine-71-rendez-vous,description,Agence de Prospection Commerciale et de Génération de prospects B2B: Comment cette entreprise a obtenu 71 rendez-vous qualifiés avec des villes d'Europe.,Agence de Prospection Commerciale et de Génération de prospects B2B: Comment cette entreprise a obtenu 71 rendez-vous qualifiés avec des villes d'Europe.,OK
/etudes-de-cas/proprete-urbaine-71-rendez-vous,canonical,https://devlo.ch/etudes-de-cas/proprete-urbaine-71-rendez-vous,https://devlo.ch/etudes-de-cas/proprete-urbaine-71-rendez-vous,OK
/etudes-de-cas/proprete-urbaine-71-rendez-vous,ogImage,/images/Cortexia_banner.webp,/images/Cortexia_banner.webp,OK
/etudes-de-cas/proprete-urbaine-71-rendez-vous,status,✅ DYNAMIQUE,✅ DYNAMIQUE,OK
/services,title,Services prospection B2B | devlo,Services prospection B2B | devlo,OK
/services,description,devlo est une agence de prospection B2B basée en Suisse : génération de leads cold email LinkedIn outreach cold calling intent data et enrichissement Clay.,devlo est une agence de prospection B2B basée en Suisse : génération de leads cold email LinkedIn outreach cold calling intent data et enrichissement Clay.,OK
/services,canonical,https://devlo.ch/services,https://devlo.ch/services,OK
/services,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/cold-calling,title,Cold Calling B2B | Téléprospection | devlo,Cold Calling B2B | Téléprospection | devlo,OK
/services/cold-calling,description,Agence de téléprospection B2B en Suisse : cold calling qualification téléphonique et prise de rendez-vous qualifiés en FR/DE/EN/NL.,Agence de téléprospection B2B en Suisse : cold calling qualification téléphonique et prise de rendez-vous qualifiés en FR/DE/EN/NL.,OK
/services/cold-calling,canonical,https://devlo.ch/services/cold-calling,https://devlo.ch/services/cold-calling,OK
/services/cold-calling,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/cold-calling,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/cold-email,title,Cold Email B2B | Campagnes | devlo,Cold Email B2B | Campagnes | devlo,OK
/services/cold-email,description,Agence cold email B2B en Suisse : séquences personnalisées délivrabilité technique et A/B testing pour générer des rendez-vous qualifiés.,Agence cold email B2B en Suisse : séquences personnalisées délivrabilité technique et A/B testing pour générer des rendez-vous qualifiés.,OK
/services/cold-email,canonical,https://devlo.ch/services/cold-email,https://devlo.ch/services/cold-email,OK
/services/cold-email,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/cold-email,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/crm-delivrabilite,title,CRM & Délivrabilité B2B | devlo,CRM & Délivrabilité B2B | devlo,OK
/services/crm-delivrabilite,description,Setup CRM et infrastructure email B2B : HubSpot/Salesforce SPF-DKIM-DMARC domaines secondaires warm-up et monitoring délivrabilité.,Setup CRM et infrastructure email B2B : HubSpot/Salesforce SPF-DKIM-DMARC domaines secondaires warm-up et monitoring délivrabilité.,OK
/services/crm-delivrabilite,canonical,https://devlo.ch/services/crm-delivrabilite,https://devlo.ch/services/crm-delivrabilite,OK
/services/crm-delivrabilite,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/crm-delivrabilite,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/enrichissement-clay,title,Enrichissement Clay B2B | devlo,Enrichissement Clay B2B | devlo,OK
/services/enrichissement-clay,description,Agence Clay B2B : enrichissement de prospects via Clay Apollo ZoomInfo Cognism et Crunchbase pour des listes fiables et actionnables.,Agence Clay B2B : enrichissement de prospects via Clay Apollo ZoomInfo Cognism et Crunchbase pour des listes fiables et actionnables.,OK
/services/enrichissement-clay,canonical,https://devlo.ch/services/enrichissement-clay,https://devlo.ch/services/enrichissement-clay,OK
/services/enrichissement-clay,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/enrichissement-clay,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/generation-leads,title,Génération de leads B2B | devlo,Génération de leads B2B | devlo,OK
/services/generation-leads,description,Agence de génération de leads B2B en Suisse : définition ICP mapping TAM qualification manuelle et listes prêtes à prospecter.,Agence de génération de leads B2B en Suisse : définition ICP mapping TAM qualification manuelle et listes prêtes à prospecter.,OK
/services/generation-leads,canonical,https://devlo.ch/services/generation-leads,https://devlo.ch/services/generation-leads,OK
/services/generation-leads,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/generation-leads,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/intent-data,title,Intent Data B2B | Signaux | devlo,Intent Data B2B | Signaux | devlo,OK
/services/intent-data,description,Activation de signaux d'intention B2B : levées de fonds recrutements migrations technologiques signaux G2 et intent data multi-sources.,Activation de signaux d'intention B2B : levées de fonds recrutements migrations technologiques signaux G2 et intent data multi-sources.,OK
/services/intent-data,canonical,https://devlo.ch/services/intent-data,https://devlo.ch/services/intent-data,OK
/services/intent-data,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/intent-data,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/linkedin-outreach,title,LinkedIn Outreach B2B | devlo,LinkedIn Outreach B2B | devlo,OK
/services/linkedin-outreach,description,Agence de prospection LinkedIn B2B en Suisse : ciblage Sales Navigator messages personnalisés et séquences multicanales.,Agence de prospection LinkedIn B2B en Suisse : ciblage Sales Navigator messages personnalisés et séquences multicanales.,OK
/services/linkedin-outreach,canonical,https://devlo.ch/services/linkedin-outreach,https://devlo.ch/services/linkedin-outreach,OK
/services/linkedin-outreach,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/linkedin-outreach,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/outbound-multicanal,title,Outbound Multicanal B2B | devlo,Outbound Multicanal B2B | devlo,OK
/services/outbound-multicanal,description,Agence de prospection outbound multicanal B2B basée en Suisse : cold email LinkedIn et calling pour générer des rendez-vous qualifiés.,Agence de prospection outbound multicanal B2B basée en Suisse : cold email LinkedIn et calling pour générer des rendez-vous qualifiés.,OK
/services/outbound-multicanal,canonical,https://devlo.ch/services/outbound-multicanal,https://devlo.ch/services/outbound-multicanal,OK
/services/outbound-multicanal,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/outbound-multicanal,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/prise-de-rendez-vous,title,Prise de RDV B2B | Booking | devlo,Prise de RDV B2B | Booking | devlo,OK
/services/prise-de-rendez-vous,description,Service de prise de rendez-vous B2B externalisé : gestion inbox qualification booking agenda et réduction du no-show.,Service de prise de rendez-vous B2B externalisé : gestion inbox qualification booking agenda et réduction du no-show.,OK
/services/prise-de-rendez-vous,canonical,https://devlo.ch/services/prise-de-rendez-vous,https://devlo.ch/services/prise-de-rendez-vous,OK
/services/prise-de-rendez-vous,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/prise-de-rendez-vous,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/services/qualification-leads,title,Qualification leads B2B | SDR | devlo,Qualification leads B2B | SDR | devlo,OK
/services/qualification-leads,description,Service SDR externalisé B2B : qualification des leads entrants/sortants discovery calls et planification de démos qualifiées.,Service SDR externalisé B2B : qualification des leads entrants/sortants discovery calls et planification de démos qualifiées.,OK
/services/qualification-leads,canonical,https://devlo.ch/services/qualification-leads,https://devlo.ch/services/qualification-leads,OK
/services/qualification-leads,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/services/qualification-leads,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
